processor_millis; CozIr_Co2_filtered;SDS011_pm25; SDS011_pm10;BME680_temperature; BME680_pressure; BME680_humidity; BME680_gasResistance;CCS811_C02; CCS811_TVOC;GPS_year; GPS_month; GPS_day; GPS_hour; GPS_minute; GPS_seconds; GPS_longitude; GPS_latitude; GPS_noSaltilites; GPS_fix;CozIr_Co2; CozIr_Co2_filtered;SN1_WE_u; SN1_AE_u; SN2_WE_u; SN2_AE_u; NO2; O3; PT1000 temp;Errors
47;0.0322;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;717;750;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-336.64; SDS011 BME680 CCS811
48;0.0295;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;727;764;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-340.67; SDS011 BME680 CCS811
49;0.027;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;736;741;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-340.67; SDS011 BME680 CCS811
50;0.0245;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;734;736;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-340.67; SDS011 BME680 CCS811
51;0.022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;735;688;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-338.25; SDS011 BME680 CCS811
52;0.0194;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;736;765;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-339.06; SDS011 BME680 CCS811
53;0.0171;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;746;763;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-339.86; SDS011 BME680 CCS811
54;0.0149;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;746;758;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-339.06; SDS011 BME680 CCS811
55;0.013;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;749;751;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-339.06; SDS011 BME680 CCS811
56;0.0113;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;756;796;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-339.06; SDS011 BME680 CCS811
57;0.0096;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;750;769;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-336.64; SDS011 BME680 CCS811
58;0.0083;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;762;764;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-340.67; SDS011 BME680 CCS811
59;0.0072;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;760;775;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-340.67; SDS011 BME680 CCS811
60;0.0062;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;755;720;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-341.47; SDS011 BME680 CCS811
61;0.0053;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;751;742;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-340.67; SDS011 BME680 CCS811
62;0.0046;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;749;734;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-336.64; SDS011 BME680 CCS811
63;0.004;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;742;722;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-340.67; SDS011 BME680 CCS811
64;0.0035;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;742;708;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-338.25; SDS011 BME680 CCS811
65;0.0031;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;732;722;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-340.67; SDS011 BME680 CCS811
66;0.0028;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;722;684;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-338.25; SDS011 BME680 CCS811
67;0.0025;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;722;721;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-340.67; SDS011 BME680 CCS811
68;0.0023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;714;716;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-337.45; SDS011 BME680 CCS811
69;0.0021;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;716;711;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-336.64; SDS011 BME680 CCS811
70;0.002;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;716;714;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-341.47; SDS011 BME680 CCS811
71;0.002;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;714;730;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-339.06; SDS011 BME680 CCS811
72;0.0019;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;713;723;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-336.64; SDS011 BME680 CCS811
73;0.0018;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;712;709;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-337.45; SDS011 BME680 CCS811
74;0.0017;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;712;723;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-341.47; SDS011 BME680 CCS811
75;0.0016;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;712;731;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-338.25; SDS011 BME680 CCS811
76;0.0015;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;708;657;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-339.86; SDS011 BME680 CCS811
77;0.0015;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;698;708;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-340.67; SDS011 BME680 CCS811
78;0.0014;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;697;668;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-338.25; SDS011 BME680 CCS811
79;0.0013;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;681;645;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-338.25; SDS011 BME680 CCS811
80;0.0013;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;667;628;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-340.67; SDS011 BME680 CCS811
81;0.0012;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;649;583;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-340.67; SDS011 BME680 CCS811
82;0.0012;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;628;529;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-339.86; SDS011 BME680 CCS811
83;0.0012;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;604;518;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-336.64; SDS011 BME680 CCS811
84;0.0011;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;572;449;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-339.06; SDS011 BME680 CCS811
85;0.0011;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;541;440;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-339.06; SDS011 BME680 CCS811
86;0.0011;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;505;390;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-339.06; SDS011 BME680 CCS811
87;0.0011;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;472;357;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-339.06; SDS011 BME680 CCS811
88;0.001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;445;359;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-337.45; SDS011 BME680 CCS811
89;0.001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;423;343;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-339.06; SDS011 BME680 CCS811
90;0.001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;407;386;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-340.67; SDS011 BME680 CCS811
91;0.001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;389;315;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-339.86; SDS011 BME680 CCS811
92;0.0009;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;380;323;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-339.86; SDS011 BME680 CCS811
93;0.0009;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;375;382;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-339.06; SDS011 BME680 CCS811
94;0.0009;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;371;342;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-339.86; SDS011 BME680 CCS811
95;0.0009;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;370;372;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-338.25; SDS011 BME680 CCS811
96;0.0009;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;372;407;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-339.86; SDS011 BME680 CCS811
97;0.0008;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;375;382;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-337.45; SDS011 BME680 CCS811
98;0.0008;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;379;382;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-339.06; SDS011 BME680 CCS811
99;0.0008;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;387;413;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-339.86; SDS011 BME680 CCS811
100;0.0008;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;394;418;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-339.86; SDS011 BME680 CCS811
101;0.0008;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;401;414;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-339.06; SDS011 BME680 CCS811
102;0.0007;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;413;468;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-339.06; SDS011 BME680 CCS811
103;0.0007;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;423;473;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-340.67; SDS011 BME680 CCS811
104;0.0007;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;418;377;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-336.64; SDS011 BME680 CCS811
105;0.0007;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;410;343;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-339.06; SDS011 BME680 CCS811
106;0.0007;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;393;343;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-340.67; SDS011 BME680 CCS811
107;0.0006;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;379;348;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-339.86; SDS011 BME680 CCS811
108;0.0006;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-340.67; SDS011 BME680 CCS811 CozIR
109;0.0006;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;341;238;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-338.25; SDS011 BME680 CCS811
110;0.0007;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-340.67; SDS011 BME680 CCS811 CozIR
111;0.0008;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;297;227;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-339.86; SDS011 BME680 CCS811
112;0.0012;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;270;177;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-339.86; SDS011 BME680 CCS811
113;0.0019;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;258;224;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-338.25; SDS011 BME680 CCS811
114;0.0019;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;246;177;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-338.25; SDS011 BME680 CCS811
115;0.0031;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;229;189;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-339.06; SDS011 BME680 CCS811
116;0.0048;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;215;160;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-338.25; SDS011 BME680 CCS811
117;0.007;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;204;141;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-339.06; SDS011 BME680 CCS811
118;0.0103;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;191;160;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-339.86; SDS011 BME680 CCS811
119;0.0139;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;181;141;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-341.47; SDS011 BME680 CCS811
120;0.0184;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;173;147;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-340.67; SDS011 BME680 CCS811
121;0.0235;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;163;123;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-342.28; SDS011 BME680 CCS811
122;0.0299;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;154;144;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-340.67; SDS011 BME680 CCS811
123;0.037;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;148;131;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-339.06; SDS011 BME680 CCS811
124;0.0448;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;143;132;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-338.25; SDS011 BME680 CCS811
125;0.0533;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;139;134;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-339.86; SDS011 BME680 CCS811
126;0.064;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;134;112;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-337.45; SDS011 BME680 CCS811
127;0.0738;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;131;121;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-340.67; SDS011 BME680 CCS811
128;0.0837;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;126;111;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-339.86; SDS011 BME680 CCS811
129;0.0933;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;122;103;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-339.06; SDS011 BME680 CCS811
130;0.104;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;117;98;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-339.86; SDS011 BME680 CCS811
131;0.1139;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;115;93;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-337.45; SDS011 BME680 CCS811
132;0.1229;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;109;83;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-340.67; SDS011 BME680 CCS811
133;0.131;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;109;107;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-339.06; SDS011 BME680 CCS811
134;0.1382;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;103;91;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-340.67; SDS011 BME680 CCS811
135;0.145;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;102;103;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-338.25; SDS011 BME680 CCS811
136;0.1502;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;99;105;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-340.67; SDS011 BME680 CCS811
137;0.155;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;99;86;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-340.67; SDS011 BME680 CCS811
138;0.1589;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;97;105;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-338.25; SDS011 BME680 CCS811
